,titulo,precio,ciudad,fecha_ini
0,Free tour por Valencia,0.0,valencia,2024-11-01
1,Entrada al Oceanogràfic,37.0,valencia,2024-11-01
2,Tour de Valencia al completo con entradas,39.0,valencia,2024-11-01
3,Entrada a la Ciudad de las Artes y las Ciencias,45.2,valencia,2024-11-01
4,Traslados en Valencia,35.0,valencia,2024-11-01
5,Excursión a La Albufera,55.0,valencia,2024-11-01
6,Autobús turístico de Valencia,22.0,valencia,2024-11-01
7,Entrada al Centro de Arte Hortensia Herrero,9.0,valencia,2024-11-01
8,Excursión a las cuevas de San José,69.0,valencia,2024-11-01
9,Tour privado por Valencia,120.0,valencia,2024-11-01
10,Free tour por la Valencia macabra,0.0,valencia,2024-11-01
11,Tarjeta eSIM Civitatis España,4.1,valencia,2024-11-01
12,Free tour de los misterios y leyendas de Valencia,0.0,valencia,2024-11-01
13,Entrada a la iglesia de San Nicolás,11.0,valencia,2024-11-01
14,Cena con espectáculo flamenco en Valencia,55.0,valencia,2024-11-01
15,Entrada a Bioparc Valencia,29.8,valencia,2024-11-01
16,Paseo en catamarán por Valencia,15.0,valencia,2024-11-01
17,Excursión a Peñíscola,75.0,valencia,2024-11-01
18,"Excursión a Altea, Villajoyosa y Benidorm",95.0,valencia,2024-11-01
19,Entrada al Museo Iluziona de Valencia,11.0,valencia,2024-11-01
20,Excursión a Montanejos,45.0,valencia,2024-11-01
21,Entrada al Hemisfèric,8.6,valencia,2024-11-01
22,Entrada al Museo de las Ciencias Príncipe Felipe,9.0,valencia,2024-11-01
23,Tour en tuk tuk por Valencia,70.0,valencia,2024-11-01
24,Tour del estadio de Mestalla,15.3,valencia,2024-11-01
25,Tour de los Borgia por Valencia + Visita a la catedral,23.0,valencia,2024-11-01
26,Free tour por la Valencia modernista,0.0,valencia,2024-11-01
27,Espectáculo flamenco en el tablao Palosanto,18.0,valencia,2024-11-01
28,Entrada al Museo de la Seda,9.0,valencia,2024-11-01
29,Tour en segway por Valencia,29.7,valencia,2024-11-01
30,Free tour por Valencia en bicicleta,0.0,valencia,2024-11-01
31,Excursión a Morella y Peñíscola,110.0,valencia,2024-11-01
32,Excursión a Bocairente,70.0,valencia,2024-11-01
33,Autobús turístico de la Albufera + Paseo en barca,22.0,valencia,2024-11-01
34,Paseo en catamarán por Valencia con comida,42.0,valencia,2024-11-01
35,Visita guiada por la Ciudad de las Artes con entradas,60.0,valencia,2024-11-01
36,Excursión a las bodegas de Requena,79.0,valencia,2024-11-01
37,Valencia Tourist Card,15.0,valencia,2024-11-01
38,Tour del Santo Grial,16.0,valencia,2024-11-01
39,Tour de la Guerra Civil Española,12.0,valencia,2024-11-01
40,Free tour por Valencia,0.0,valencia,2024-11-08
41,Entrada al Oceanogràfic,37.0,valencia,2024-11-08
42,Tour de Valencia al completo con entradas,39.0,valencia,2024-11-08
43,Entrada a la Ciudad de las Artes y las Ciencias,45.2,valencia,2024-11-08
44,Excursión a La Albufera,55.0,valencia,2024-11-08
45,Traslados en Valencia,35.0,valencia,2024-11-08
46,Autobús turístico de Valencia,22.0,valencia,2024-11-08
47,Entrada al Centro de Arte Hortensia Herrero,9.0,valencia,2024-11-08
48,Excursión a las cuevas de San José,69.0,valencia,2024-11-08
49,Tour privado por Valencia,120.0,valencia,2024-11-08
50,Free tour por la Valencia macabra,0.0,valencia,2024-11-08
51,Free tour de los misterios y leyendas de Valencia,0.0,valencia,2024-11-08
52,Tarjeta eSIM Civitatis España,4.1,valencia,2024-11-08
53,Entrada a la iglesia de San Nicolás,11.0,valencia,2024-11-08
54,Cena con espectáculo flamenco en Valencia,55.0,valencia,2024-11-08
55,Entrada a Bioparc Valencia,29.8,valencia,2024-11-08
56,Paseo en catamarán por Valencia,15.0,valencia,2024-11-08
57,Excursión a Peñíscola,75.0,valencia,2024-11-08
58,"Excursión a Altea, Villajoyosa y Benidorm",95.0,valencia,2024-11-08
59,Entrada al Museo Iluziona de Valencia,11.0,valencia,2024-11-08
60,Excursión a Montanejos,45.0,valencia,2024-11-08
61,Entrada al Hemisfèric,8.6,valencia,2024-11-08
62,Entrada al Museo de las Ciencias Príncipe Felipe,9.0,valencia,2024-11-08
63,Tour en tuk tuk por Valencia,70.0,valencia,2024-11-08
64,Tour del estadio de Mestalla,15.3,valencia,2024-11-08
65,Tour de los Borgia por Valencia + Visita a la catedral,23.0,valencia,2024-11-08
66,Free tour por la Valencia modernista,0.0,valencia,2024-11-08
67,Espectáculo flamenco en el tablao Palosanto,18.0,valencia,2024-11-08
68,Entrada al Museo de la Seda,9.0,valencia,2024-11-08
69,Tour en segway por Valencia,29.7,valencia,2024-11-08
70,Free tour por Valencia en bicicleta,0.0,valencia,2024-11-08
71,Excursión a Morella y Peñíscola,110.0,valencia,2024-11-08
72,Excursión a Bocairente,70.0,valencia,2024-11-08
73,Autobús turístico de la Albufera + Paseo en barca,22.0,valencia,2024-11-08
74,Paseo en catamarán por Valencia con comida,42.0,valencia,2024-11-08
75,Visita guiada por la Ciudad de las Artes con entradas,60.0,valencia,2024-11-08
76,Excursión a las bodegas de Requena,79.0,valencia,2024-11-08
