,district,city,accommodation_type_name,distance,checkin,checkout,review_score,address,price_total,price_night,hotel_name,class
0,Camins al Grau,Valencia,Hotel,2.56,15:00,12:00,8.4,"Escultor Vicente Beltrán Grimal, 2",367.0,183.5,Eurostars Acteón,4.0
1,Ciutat Vella,València,Hotel,0.34,14:30,12:00,8.4,9 Carrer de Sant Ferran,810.0,405.0,Catalina Suites,4.0
2,Ciutat Vella,Valencia,Hotel,0.19,15:00,12:00,8.4,"Barcelonina, 5",500.0,250.0,Catalonia Excelsior,4.0
3,Benicalap,Valencia,Hotel,3.03,14:00,12:00,8.0,"Valle De Ayora, 1",344.74,172.37,Ilunion Valencia 4,4.0
4,Benicalap,Valencia,Hotel,3.05,15:00,12:00,8.5,"Valle de Ayora, 3 (Paralela Cortes Valencianas)",365.0,182.5,Eurostars Gran Valencia,4.0
5,Campanar,Valencia,Hotel,1.50,15:00,12:00,8.2,"Ricardo Micó, 1",375.0,187.5,NH Valencia Center,4.0
6,Quatre Carreres,Valencia,Hotel,2.26,15:00,12:00,8.1,"Instituto Obrero de Valencia, 28",386.02,193.01,NH Valencia Las Artes,4.0
7,Camins al Grau,Valencia,Hotel,1.80,14:00,12:00,8.3,"Cardenal Benlloch, 28",398.0,199.0,Silken Puerta Valencia,4.0
8,Camins al Grau,Valencia,Hotel,2.77,16:00,12:00,8.2,"Pintor Maella, 35",430.0,215.0,Hotel Valencia Oceanic Affiliated by Meliá,4.0
9,Benicalap,Valencia,Hotel,3.47,15:00,12:00,8.5,"Avinguda de Les Corts Valencianes, 52",470.0,235.0,Melia Valencia,4.0
10,Ciutat Vella,Valencia,Apartamento,0.31,15:00,11:00,8.6,"Gascons, 4",406.98,203.49,Citizentral Gascons,0.0
11,,Valencia,Hotel,4.48,15:00,12:00,7.5,"Paseo Serra d'Espadà, 2 ",370.0,185.0,Resa Patacona,2.0
12,Poblados marítimos,Valencia,Hotel,3.84,16:00,12:00,7.5,Plaça del Tribunal de les Aigües 5 ,380.25,190.125,Sea You Hotel Port Valencia,4.0
13,Camins al Grau,Valencia,Hotel,3.05,14:00,12:00,8.2,"Luis García Berlanga, 19",518.4,259.2,Ilunion Aqua 4,4.0
14,Quatre Carreres,Valencia,Hotel,1.91,16:00,12:00,8.1,"General Urrutia, 48",420.0,210.0,Hotel Medium Valencia,4.0
15,Camins al Grau,Valencia,Hotel,2.29,16:00,12:00,8.6,"Avenida Francia, 11",440.0,220.0,Barceló Valencia,4.0
16,Ciutat Vella,Valencia,Hotel,0.22,15:00,12:00,8.7,"Martínez Cubells, 5",751.41,375.705,Vincci Lys,4.0
17,Ciutat Vella,Valencia,Hotel,0.57,15:00,12:00,8.5,"La Paz, 42",729.63,364.815,Vincci Palace,4.0
18,Camins al Grau,Valencia,Hotel,2.41,14:00,12:00,8.9,Paseo de la Alameda 41,531.0,265.5,Sercotel Valencia Alameda 41,4.0
19,Extramurs,Valencia,Hotel,1.21,15:00,12:00,8.9,63 Gran Via de Ferran el Catòlic,687.09,343.545,L&H Gran Vía Valencia,4.0
