,destination,city,checkin_date,accommodation_type_name,distance,review_score,price_total,hotel_name,class
0,Valencia,Valencia,2024-11-01,Apartamento,2.67,8.2,388.37,Valencia luxury - sea port i,0
1,Valencia,Valencia,2024-11-01,Hostal o pensión,0.39,5.9,168.12,Nwt central station valencia,0
2,Valencia,València,2024-11-01,Apartamento,4.01,7.8,314.4,Best valencia beach flat historic area next to the beach,0
3,Valencia,Valencia,2024-11-01,Hotel,2.6,8.1,400.0,"Holiday inn express ciudad de las ciencias, an ihg hotel",3
4,Valencia,Valencia,2024-11-01,Hotel,2.56,8.4,367.0,Eurostars acteón,4
5,Valencia,Valencia,2024-11-01,Hotel,2.26,7.6,368.0,Nh valencia las ciencias,3
6,Valencia,València,2024-11-01,Hotel,0.34,8.4,729.0,Catalina suites,4
7,Valencia,València,2024-11-01,Hostal o pensión,3.77,6.6,127.58,Kiwi rooms auto check-in,0
8,Valencia,Valencia,2024-11-01,Hotel,2.77,8.2,334.0,Hotel valencia oceanic affiliated by meliá,4
9,Valencia,Valencia,2024-11-01,Hotel,3.03,8.0,344.74,Ilunion valencia 4,4
10,Valencia,Valencia,2024-11-01,Hotel,3.05,8.5,365.0,Eurostars gran valencia,4
11,Valencia,València,2024-11-01,Apartamento,0.19,8.5,263.0,Apartamento junto ayuntamiento de valencia,0
12,Valencia,València,2024-11-01,Habitación en casa particular,2.52,7.0,170.0,Habitacion en casa de familia valenciabonita,0
13,Valencia,Valencia,2024-11-01,Hotel,1.5,8.2,369.0,Nh valencia center,4
14,Valencia,València,2024-11-01,Hostal o pensión,1.58,6.5,184.5,City center guest house,0
15,Valencia,Valencia,2024-11-01,Hotel,2.26,8.1,368.0,Nh valencia las artes,4
16,Valencia,Valencia,2024-11-01,Hotel,0.19,8.4,500.0,Catalonia excelsior,4
17,Valencia,Valencia,2024-11-01,Hotel,2.18,8.7,413.1,Hotel malcom and barret,3
18,Valencia,Valencia,2024-11-01,Hotel,1.8,8.3,398.0,Silken puerta valencia,4
19,Valencia,Valencia ,2024-11-01,Hotel,2.98,8.3,403.5,Primus valencia,4
20,Valencia,València,2024-11-08,Apartamento,2.88,8.4,280.54,Florit flats - the trafalgar apartments iii,0
21,Valencia,Valencia,2024-11-08,Hotel,2.8,7.7,193.5,B&b hotel valencia ciudad de las ciencias,3
22,Valencia,València,2024-11-08,Bed & breakfast,2.05,9.2,216.0,Maison primado b&b,0
23,Valencia,Valencia,2024-11-08,Hostal o pensión,19.12,8.0,123.82,Hostal blayet,0
24,Valencia,Valencia,2024-11-08,Hostal o pensión,3.96,8.2,180.0,Nanit valencia hostel,0
25,Valencia,València,2024-11-08,Apartamento,2.11,7.8,202.0,Unique estudio,0
26,Valencia,Valencia,2024-11-08,Hotel,0.33,8.5,414.0,Sh colón valencia,4
27,Valencia,Valencia,2024-11-08,Hotel,2.18,8.7,315.9,Hotel malcom and barret,3
28,Valencia,València,2024-11-08,Hostal o pensión,4.6,5.8,150.0,Barraca suites,0
29,Valencia,Valencia,2024-11-08,Hostal o pensión,4.57,5.5,137.38,Malvarrosa beach rooms,2
30,Valencia,Valencia,2024-11-08,Hotel,0.39,8.2,468.0,Sh ingles boutique hotel,4
31,Valencia,València,2024-11-08,Apartamento,0.26,8.4,274.0,Apartments abate 4,0
32,Valencia,Valencia,2024-11-08,Apartamento,2.01,8.7,342.0,Apartamentos plaza picasso,0
33,Valencia,València,2024-11-08,Apartamento,1.57,8.5,288.0,North station pen-suites,0
34,Valencia,Valencia,2024-11-08,Hotel,1.8,8.3,334.0,Silken puerta valencia,4
35,Valencia,Valencia,2024-11-08,Hostal o pensión,5.43,7.3,338.0,Hostal rr feria by beleret,0
36,Valencia,València,2024-11-08,Hostal o pensión,1.58,6.5,168.0,City center guest house,0
37,Valencia,Valencia,2024-11-08,Hotel,3.05,7.8,342.72,Ilunion aqua 3,3
38,Valencia,València,2024-11-08,Hostal o pensión,0.17,7.8,190.0,Rotaret,0
39,Valencia,València,2024-11-08,Apartamento,1.15,8.0,213.5,Loft 3 en el centro,0
40,Barcelona,Barcelona,2024-11-01,Hostal o pensión,1.28,7.5,242.0,Hostal nuevo colon,0
41,Barcelona,Barcelona,2024-11-01,Hotel,2.89,8.7,363.88,Acta voraport,3
42,Barcelona,Barcelona,2024-11-01,Hotel,2.44,8.4,369.06,Acta city47,4
43,Barcelona,Barcelona,2024-11-01,Hotel,2.16,8.1,409.08,Sallés hotel pere iv,4
