,destination,city,checkin_date,accommodation_type_name,distance,review_score,price_total,hotel_name,class
0,Valencia,Valencia,2024-11-01,Apartamento,2.67,8.2,388.37,Valencia Luxury - Sea Port I,0.0
1,Valencia,Valencia,2024-11-01,Hostal o pensión,0.39,5.9,168.12,NWT Central Station Valencia,0.0
2,Valencia,València,2024-11-01,Apartamento,4.01,7.8,314.4,Best Valencia Beach Flat Historic Area next to the Beach,0.0
3,Valencia,Valencia,2024-11-01,Hotel,2.6,8.1,400.0,"Holiday Inn Express Ciudad de las Ciencias, an IHG Hotel",3.0
4,Valencia,Valencia,2024-11-01,Hotel,2.56,8.4,367.0,Eurostars Acteón,4.0
5,Valencia,Valencia,2024-11-01,Hotel,2.26,7.6,368.0,NH Valencia Las Ciencias,3.0
6,Valencia,València,2024-11-01,Hotel,0.34,8.4,729.0,Catalina Suites,4.0
7,Valencia,València,2024-11-01,Hostal o pensión,3.77,6.6,127.58,Kiwi Rooms Auto Check-In,0.0
8,Valencia,Valencia,2024-11-01,Hotel,2.77,8.2,334.0,Hotel Valencia Oceanic Affiliated by Meliá,4.0
9,Valencia,Valencia,2024-11-01,Hotel,3.03,8.0,344.74,Ilunion Valencia 4,4.0
10,Valencia,Valencia,2024-11-01,Hotel,3.05,8.5,365.0,Eurostars Gran Valencia,4.0
11,Valencia,València,2024-11-01,Apartamento,0.19,8.5,263.0,APARTAMENTO JUNTO AYUNTAMIENTO DE VALENCIA,0.0
12,Valencia,València,2024-11-01,Habitación en casa particular,2.52,7.0,170.0,"Habitacion en casa de familia ""ValenciaBonita""",0.0
13,Valencia,Valencia,2024-11-01,Hotel,1.5,8.2,369.0,NH Valencia Center,4.0
14,Valencia,València,2024-11-01,Hostal o pensión,1.58,6.5,184.5,City Center Guest house,0.0
15,Valencia,Valencia,2024-11-01,Hotel,2.26,8.1,368.0,NH Valencia Las Artes,4.0
16,Valencia,Valencia,2024-11-01,Hotel,0.19,8.4,500.0,Catalonia Excelsior,4.0
17,Valencia,Valencia,2024-11-01,Hotel,2.18,8.7,413.1,Hotel Malcom and Barret,3.0
18,Valencia,Valencia,2024-11-01,Hotel,1.8,8.3,398.0,Silken Puerta Valencia,4.0
19,Valencia,Valencia ,2024-11-01,Hotel,2.98,8.3,403.5,Primus Valencia,4.0
20,Valencia,València,2024-11-08,Apartamento,2.88,8.4,280.54,FLORIT FLATS - The Trafalgar Apartments III,0.0
21,Valencia,Valencia,2024-11-08,Hotel,2.8,7.7,193.5,B&B HOTEL Valencia Ciudad de las Ciencias,3.0
22,Valencia,València,2024-11-08,Bed & breakfast,2.05,9.2,216.0,Maison Primado B&B,0.0
23,Valencia,Valencia,2024-11-08,Hostal o pensión,19.12,8.0,123.82,Hostal Blayet,0.0
24,Valencia,Valencia,2024-11-08,Hostal o pensión,3.96,8.2,180.0,Nanit Valencia Hostel,0.0
25,Valencia,València,2024-11-08,Apartamento,2.11,7.8,202.0,Unique Estudio,0.0
26,Valencia,Valencia,2024-11-08,Hotel,0.33,8.5,414.0,SH Colón Valencia,4.0
27,Valencia,Valencia,2024-11-08,Hotel,2.18,8.7,315.9,Hotel Malcom and Barret,3.0
28,Valencia,València,2024-11-08,Hostal o pensión,4.6,5.8,150.0,Barraca Suites,0.0
29,Valencia,Valencia,2024-11-08,Hostal o pensión,4.57,5.5,137.38,Malvarrosa Beach Rooms,2.0
30,Valencia,Valencia,2024-11-08,Hotel,0.39,8.2,468.0,SH Ingles Boutique Hotel,4.0
